일자, 영업소명, 방향구분,영업소코드, 기점종점방향구분코드, 당일교통량, 전주교통량, 전전주교통량, 전월평균교통량, 전년동주교통량, 전년평균교통량
20180104,구리남양주,서울방향,6,2,98222,101302,92920,94859,102826,103854
20180110,구리남양주,서울방향,6,2,93010,97818,99758,94859,102730,103854
20180101,구리남양주,서울방향,6,2,78055,75696,80035,94859,97479,103854
20180101,구리남양주,지방방향,6,3,77987,79411,75121,92163,98167,99595
20180111,구리남양주,서울방향,6,2,94480,98222,101302,94859,102869,103854
20180102,구리남양주,서울방향,6,2,92503,98114,97203,94859,102000,103854
20180102,구리남양주,지방방향,6,3,93740,97939,93241,92163,101864,99595
20180112,구리남양주,서울방향,6,2,99351,103751,105093,94859,107455,103854
20180103,구리남양주,서울방향,6,2,97818,99758,94766,94859,101390,103854
20180103,구리남양주,지방방향,6,3,96776,99174,91276,92163,102650,99595
20180113,구리남양주,서울방향,6,2,91113,93156,93004,94859,100381,103854
20180104,구리남양주,지방방향,6,3,96647,100804,91753,92163,104666,99595
20180105,구리남양주,서울방향,6,2,103751,105093,106994,94859,108353,103854
20180105,구리남양주,지방방향,6,3,102615,101939,102018,92163,111447,99595
20180115,구리남양주,서울방향,6,2,95818,93023,78055,94859,100626,103854
20180106,구리남양주,서울방향,6,2,93156,93004,98750,94859,105546,103854
20180106,구리남양주,지방방향,6,3,92846,90866,95164,92163,103759,99595
20180116,구리남양주,서울방향,6,2,98810,93439,92503,94859,104353,103854
20180107,구리남양주,서울방향,6,2,71084,72043,71707,94859,81421,103854
20180107,구리남양주,지방방향,6,3,74068,76074,70100,92163,82596,99595
20180117,구리남양주,서울방향,6,2,98368,93010,97818,94859,104413,103854
20180108,구리남양주,서울방향,6,2,93023,78055,75696,94859,102032,103854
20180108,구리남양주,지방방향,6,3,92624,77987,79411,92163,102626,99595
20180109,구리남양주,서울방향,6,2,93439,92503,98114,94859,102853,103854
20180109,구리남양주,지방방향,6,3,92741,93740,97939,92163,104705,99595
20180119,구리남양주,서울방향,6,2,105409,99351,103751,94859,90599,103854
20180110,구리남양주,지방방향,6,3,92542,96776,99174,92163,100837,99595
20180111,구리남양주,지방방향,6,3,93205,96647,100804,92163,103119,99595
20180112,구리남양주,지방방향,6,3,97179,102615,101939,92163,106171,99595
20180122,구리남양주,서울방향,6,2,92982,95818,93023,94859,102169,103854
20180113,구리남양주,지방방향,6,3,92302,92846,90866,92163,101169,99595
20180114,구리남양주,서울방향,6,2,73448,71084,72043,94859,78175,103854
20180114,구리남양주,지방방향,6,3,76657,74068,76074,92163,80816,99595
20180124,구리남양주,서울방향,6,2,93953,98368,93010,94859,112004,103854
20180115,구리남양주,지방방향,6,3,94203,92624,77987,92163,104171,99595
20180116,구리남양주,지방방향,6,3,97477,92741,93740,92163,105866,99595
20180126,구리남양주,서울방향,6,2,101195,105409,99351,94859,84436,103854
20180117,구리남양주,지방방향,6,3,96683,92542,96776,92163,105307,99595
20180118,구리남양주,서울방향,6,2,98304,94480,98222,94859,106314,103854
20180118,구리남양주,지방방향,6,3,98234,93205,96647,92163,104315,99595
20180128,구리남양주,서울방향,6,2,73051,76496,73448,94859,88699,103854
20180119,구리남양주,지방방향,6,3,103456,97179,102615,92163,88922,99595
20180120,구리남양주,서울방향,6,2,98716,91113,93156,94859,91699,103854
20180120,구리남양주,지방방향,6,3,95561,92302,92846,92163,92799,99595
20180130,구리남양주,서울방향,6,2,93120,92940,98810,94859,92468,103854
20180121,구리남양주,서울방향,6,2,76496,73448,71084,94859,67144,103854
20180121,구리남양주,지방방향,6,3,79383,76657,74068,92163,71011,99595
20180131,구리남양주,서울방향,6,2,95825,93953,98368,94859,99170,103854
20180122,구리남양주,지방방향,6,3,93583,94203,92624,92163,105450,99595
20180123,구리남양주,서울방향,6,2,92940,98810,93439,94859,108725,103854
20180123,구리남양주,지방방향,6,3,91385,97477,92741,92163,107369,99595
20180124,구리남양주,지방방향,6,3,92171,96683,92542,92163,113098,99595
20180125,구리남양주,서울방향,6,2,95029,98304,94480,94859,107764,103854
20180125,구리남양주,지방방향,6,3,89175,98234,93205,92163,104272,99595
20180126,구리남양주,지방방향,6,3,96745,103456,97179,92163,91900,99595
20180127,구리남양주,서울방향,6,2,93103,98716,91113,94859,110891,103854
20180127,구리남양주,지방방향,6,3,90797,95561,92302,92163,96951,99595
20180128,구리남양주,지방방향,6,3,76649,79383,76657,92163,71886,99595
20180207,구리남양주,서울방향,6,2,98457,95825,93953,92695,102888,103854
20180129,구리남양주,서울방향,6,2,93794,92982,95818,94859,78704,103854
20180129,구리남양주,지방방향,6,3,96505,93583,94203,92163,71714,99595
20180130,구리남양주,지방방향,6,3,93059,91385,97477,92163,94124,99595
20180131,구리남양주,지방방향,6,3,91943,92171,96683,92163,101203,99595
20180201,구리남양주,서울방향,6,2,100131,95029,98304,92695,101534,103854
20180201,구리남양주,지방방향,6,3,93434,89175,98234,91992,102105,99595
20180202,구리남양주,서울방향,6,2,104659,101195,105409,92695,109276,103854
20180202,구리남양주,지방방향,6,3,103910,96745,103456,91992,111016,99595
20180203,구리남양주,서울방향,6,2,96849,93103,98716,92695,100477,103854
20180203,구리남양주,지방방향,6,3,94877,90797,95561,91992,99634,99595
20180204,구리남양주,서울방향,6,2,73811,73051,76496,92695,69564,103854
20180204,구리남양주,지방방향,6,3,76993,76649,79383,91992,71691,99595
20180214,구리남양주,서울방향,6,2,104083,98457,95825,92695,107469,103854
20180205,구리남양주,서울방향,6,2,17051,93794,92982,92695,101254,103854
20180205,구리남양주,지방방향,6,3,19372,96505,93583,91992,102736,99595
20180215,구리남양주,서울방향,6,2,86819,103107,100131,92695,106187,103854
20180206,구리남양주,서울방향,6,2,96977,93120,92940,92695,104158,103854
20180206,구리남양주,지방방향,6,3,95954,93059,91385,91992,99943,99595
20180207,구리남양주,지방방향,6,3,96738,91943,92171,91992,103857,99595
20180208,구리남양주,서울방향,6,2,103107,100131,95029,92695,104834,103854
20180208,구리남양주,지방방향,6,3,99570,93434,89175,91992,104263,99595
20180209,구리남양주,서울방향,6,2,110182,104659,101195,92695,110365,103854
20180209,구리남양주,지방방향,6,3,106413,103910,96745,91992,113214,99595
20180210,구리남양주,서울방향,6,2,99181,96849,93103,92695,104846,103854
20180210,구리남양주,지방방향,6,3,97635,94877,90797,91992,103400,99595
20180211,구리남양주,서울방향,6,2,74396,73811,73051,92695,81546,103854
20180211,구리남양주,지방방향,6,3,77247,76993,76649,91992,83587,99595
20180212,구리남양주,서울방향,6,2,103504,17051,93794,92695,103144,103854
20180212,구리남양주,지방방향,6,3,97010,19372,96505,91992,100634,99595
20180222,구리남양주,서울방향,6,2,103933,86819,103107,92695,110140,103854
20180213,구리남양주,서울방향,6,2,106362,96977,93120,92695,106232,103854
20180213,구리남양주,지방방향,6,3,97357,95954,93059,91992,103145,99595
20180223,구리남양주,서울방향,6,2,106123,103040,110182,92695,116960,103854
20180214,구리남양주,지방방향,6,3,105632,96738,91943,91992,105168,99595
20180215,구리남양주,지방방향,6,3,98684,99570,93434,91992,103986,99595
20180225,구리남양주,서울방향,6,2,80424,81009,74396,92695,91316,103854
20180216,구리남양주,서울방향,6,2,103040,110182,104659,92695,113372,103854
20180216,구리남양주,지방방향,6,3,92595,106413,103910,91992,110073,99595
20180226,구리남양주,서울방향,6,2,103176,98511,103504,92695,109794,103854
20180217,구리남양주,서울방향,6,2,98473,99181,96849,92695,107220,103854
20180217,구리남양주,지방방향,6,3,84040,97635,94877,91992,103095,99595
20180227,구리남양주,서울방향,6,2,106476,101542,106362,92695,113467,103854
20180218,구리남양주,서울방향,6,2,81009,74396,73811,92695,83604,103854
20180218,구리남양주,지방방향,6,3,74047,77247,76993,91992,83776,99595
20180219,구리남양주,서울방향,6,2,98511,103504,17051,92695,105895,103854
20180219,구리남양주,지방방향,6,3,96402,97010,19372,91992,104802,99595
20180220,구리남양주,서울방향,6,2,101542,106362,96977,92695,108285,103854
20180220,구리남양주,지방방향,6,3,95189,97357,95954,91992,104431,99595
20180302,구리남양주,서울방향,6,2,103559,106123,103040,94707,111103,103854
20180221,구리남양주,서울방향,6,2,102934,104083,98457,92695,103108,103854
20180221,구리남양주,지방방향,6,3,96324,105632,96738,91992,100633,99595
