집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20200401,011 ,0,1,00,1,9472,430,418,563,542,1406,12831,
20200401,011 ,0,2,00,1,54733,1751,669,666,2323,3960,64102,
20200401,011 ,1,1,00,1,10827,292,693,671,420,1558,14461,
20200401,011 ,1,2,00,1,59836,1812,728,825,2623,4244,70068,
20200401,012 ,0,1,00,1,215,7,23,16,11,23,295,
20200401,012 ,0,2,00,1,1045,16,24,33,72,20,1210,
20200401,012 ,1,1,00,1,153,5,15,10,4,20,207,
20200401,012 ,1,2,00,1,906,8,16,11,56,26,1023,
20200401,013 ,0,1,00,1,486,31,42,28,26,43,656,
20200401,013 ,0,2,00,1,1804,62,43,54,225,72,2260,
20200401,013 ,1,1,00,1,510,33,37,30,27,52,689,
20200401,013 ,1,2,00,1,1931,66,43,36,207,70,2353,
20200401,025 ,0,1,08,1,2352,26,16,162,12,56,2624,
20200401,025 ,0,2,08,1,1984,19,4,0,9,113,2129,
20200401,025 ,1,1,08,1,2641,29,15,162,20,57,2924,
20200401,025 ,1,2,08,1,2120,15,8,5,13,133,2294,
20200401,029 ,0,1,00,1,2026,106,220,206,322,317,3197,
20200401,029 ,0,2,00,1,10610,232,165,188,2159,669,14023,
20200401,029 ,1,1,00,1,2960,171,200,203,463,425,4422,
20200401,029 ,1,2,00,1,11641,285,188,185,1875,703,14877,
20200401,053 ,0,1,00,1,4329,131,204,223,175,702,5764,
20200401,053 ,0,2,00,1,29533,867,591,389,1131,1977,34488,
20200401,053 ,1,1,00,1,4628,121,292,208,130,690,6069,
20200401,053 ,1,2,00,1,30445,803,610,361,909,2043,35171,
20200401,056 ,0,1,00,1,191,6,4,15,2,9,227,
20200401,056 ,0,2,00,1,482,5,5,13,40,27,572,
20200401,056 ,1,1,00,1,153,9,4,12,2,11,191,
20200401,056 ,1,2,00,1,390,6,12,6,28,19,461,
20200401,061 ,0,1,00,1,8652,365,955,780,175,1149,12076,
20200401,061 ,0,2,00,1,72107,2736,1766,1629,1835,4280,84353,
20200401,061 ,1,1,00,1,7882,390,708,961,315,1087,11343,
20200401,061 ,1,2,00,1,69037,2771,1859,2069,2391,4105,82232,
20200401,062 ,0,1,00,1,10723,439,1095,713,217,1381,14568,
20200401,062 ,0,2,00,1,71774,3179,1742,2416,2205,4547,85863,
20200401,062 ,1,1,00,1,10345,449,907,792,251,1379,14123,
20200401,062 ,1,2,00,1,71906,3183,1831,2560,2408,4613,86501,
20200401,063 ,0,1,00,1,1099,57,111,78,29,161,1535,
20200401,063 ,0,2,00,1,9636,383,179,219,329,690,11436,
20200401,063 ,1,1,00,1,752,42,79,77,26,121,1097,
20200401,063 ,1,2,00,1,6444,312,141,177,372,440,7886,
20200401,064 ,0,1,00,1,7643,291,473,355,183,1051,9996,
20200401,064 ,0,2,00,1,62486,2002,1336,913,1681,3881,72299,
20200401,064 ,1,1,00,1,7920,333,585,358,115,1066,10377,
20200401,064 ,1,2,00,1,65050,2074,1513,954,1612,4001,75204,
20200401,065 ,0,1,00,1,4369,95,82,88,45,461,5140,
20200401,065 ,0,2,00,1,36335,492,1741,211,226,1677,40682,
20200401,065 ,1,1,00,1,5190,98,86,92,23,500,5989,
20200401,065 ,1,2,00,1,37696,480,1653,216,254,1744,42043,
20200401,066 ,0,1,00,1,1895,104,93,80,45,230,2447,
20200401,066 ,0,2,00,1,14386,426,140,186,909,936,16983,
20200401,066 ,1,1,00,1,1735,96,88,56,82,207,2264,
20200401,066 ,1,2,00,1,13054,376,109,126,724,846,15235,
20200401,067 ,0,1,00,1,7371,272,653,560,197,941,9994,
20200401,067 ,0,2,00,1,56728,1983,1144,1358,1611,3459,66283,
20200401,067 ,1,1,00,1,7943,333,766,723,386,1030,11181,
20200401,067 ,1,2,00,1,57544,2094,1202,1449,1922,3441,67652,
20200401,068 ,0,1,00,1,9473,466,1039,798,478,1434,13688,
20200401,068 ,0,2,00,1,65487,2423,1127,1149,2565,4338,77089,
20200401,068 ,1,1,00,1,11246,570,930,933,581,1656,15916,
20200401,068 ,1,2,00,1,70929,2700,1139,1121,2150,4721,82760,
20200401,069 ,0,1,00,1,331,6,1,0,0,30,368,
20200401,069 ,0,2,00,1,2557,26,9,1,0,79,2672,
20200401,069 ,1,1,00,1,564,8,0,1,0,54,627,
20200401,069 ,1,2,00,1,4257,42,1,0,0,139,4439,
20200401,074 ,0,1,10,1,703,31,57,34,19,131,975,
20200401,074 ,0,2,10,1,6183,120,47,99,423,442,7314,
20200401,074 ,1,1,10,1,844,39,49,45,13,129,1119,
20200401,074 ,1,2,10,1,6358,119,54,133,354,476,7494,
20200401,091 ,0,1,00,1,333,54,29,67,25,38,546,
20200401,091 ,0,2,00,1,1592,62,46,288,227,76,2291,
20200401,091 ,1,1,00,1,333,44,48,59,26,32,542,
20200401,091 ,1,2,00,1,1717,78,51,296,236,76,2454,
20200401,092 ,0,1,00,1,538,38,67,27,26,97,793,
20200401,092 ,0,2,00,1,3124,124,88,76,258,229,3899,
20200401,092 ,1,1,00,1,410,25,52,34,20,66,607,
20200401,092 ,1,2,00,1,2560,88,89,50,253,180,3220,
20200401,101 ,0,1,00,0,10492,292,813,532,125,194,12448,
20200401,101 ,0,2,00,0,72349,2543,6258,1778,1072,3395,87395,
20200401,101 ,1,1,00,0,9779,378,636,774,156,1063,12786,
20200401,101 ,1,2,00,0,73056,2917,6556,2389,1455,3530,89903,
20200401,102 ,0,1,00,0,4083,98,159,96,36,60,4532,
20200401,102 ,0,2,00,0,36696,630,985,211,640,2243,41405,
20200401,102 ,1,1,00,0,3627,89,134,72,26,490,4438,
20200401,102 ,1,2,00,0,31726,572,797,178,606,2037,35916,
20200401,103 ,0,1,00,0,4335,136,369,262,53,81,5236,
20200401,103 ,0,2,00,0,36180,1592,2242,870,582,2024,43490,
20200401,103 ,1,1,00,0,4248,164,365,272,65,523,5637,
20200401,103 ,1,2,00,0,36439,1687,2281,1005,838,2070,44320,
20200401,104 ,0,1,00,0,90,3,19,39,3,0,154,
20200401,104 ,0,2,00,0,372,19,16,44,59,6,516,
20200401,104 ,1,1,00,0,98,1,24,21,5,10,159,
20200401,104 ,1,2,00,0,381,23,18,29,51,9,511,
20200401,105 ,0,1,00,0,1484,44,69,74,15,32,1718,
20200401,105 ,0,2,00,0,12103,324,403,172,134,712,13848,
20200401,105 ,1,1,00,0,2241,63,107,94,25,275,2805,
20200401,105 ,1,2,00,0,12589,280,386,151,87,779,14272,
20200401,106 ,0,1,00,0,2184,120,535,370,75,38,3322,
20200401,106 ,0,2,00,0,17613,1532,1373,1131,658,1059,23366,
20200401,106 ,1,1,00,0,2698,187,479,399,92,367,4222,
20200401,106 ,1,2,00,0,17687,1469,1425,1200,723,1136,23640,
20200401,107 ,0,1,00,0,2228,87,157,111,23,37,2643,
20200401,107 ,0,2,00,0,12550,484,518,337,230,812,14931,
20200401,107 ,1,1,00,0,2214,83,204,128,34,330,2993,
20200401,107 ,1,2,00,0,13425,548,568,336,263,933,16073,
20200401,108 ,0,1,00,0,3161,102,253,289,112,38,3955,
20200401,108 ,0,2,00,0,20278,599,1037,531,677,1012,24134,
20200401,108 ,1,1,00,0,3361,98,253,281,89,416,4498,
20200401,108 ,1,2,00,0,19326,613,1058,527,601,961,23086,
20200401,109 ,0,1,00,0,244,45,62,61,15,3,430,
20200401,109 ,0,2,00,0,1357,133,109,159,165,79,2002,
20200401,109 ,1,1,00,0,311,42,73,51,20,30,527,
20200401,109 ,1,2,00,0,1404,134,129,156,245,85,2153,
20200401,110 ,0,1,00,0,652,43,148,205,51,13,1112,
20200401,110 ,0,2,00,0,3610,252,231,388,325,139,4945,
20200401,110 ,1,1,00,0,812,56,203,182,66,73,1392,
20200401,110 ,1,2,00,0,4447,275,236,396,391,194,5939,
20200401,111 ,0,1,00,0,1376,47,142,200,58,10,1833,
20200401,111 ,0,2,00,0,5590,225,458,278,376,259,7186,
20200401,111 ,1,1,00,0,1412,43,123,166,39,133,1916,
20200401,111 ,1,2,00,0,5924,269,458,275,409,267,7602,
20200401,112 ,0,1,00,0,1299,127,213,289,119,20,2067,
20200401,112 ,0,2,00,0,6382,573,357,559,974,253,9098,
20200401,112 ,1,1,00,0,1194,91,225,318,80,115,2023,
20200401,112 ,1,2,00,0,6084,558,352,689,1016,239,8938,
20200401,113 ,0,1,00,0,1582,102,286,345,95,30,2440,
20200401,113 ,0,2,00,0,8931,526,316,766,1116,450,12105,
20200401,113 ,1,1,00,0,1888,116,263,343,109,194,2913,
20200401,113 ,1,2,00,0,9188,508,326,699,1046,458,12225,
20200401,114 ,0,1,00,0,1165,79,177,131,27,17,1596,
20200401,114 ,0,2,00,0,5338,231,248,296,160,277,6550,
20200401,114 ,1,1,00,0,1066,77,140,129,23,77,1512,
20200401,114 ,1,2,00,0,4769,204,220,268,147,267,5875,
20200401,115 ,0,1,00,0,3085,109,132,91,24,36,3477,
20200401,115 ,0,2,00,0,15048,494,631,209,274,866,17522,
20200401,115 ,1,1,00,0,3065,98,106,92,28,349,3738,
20200401,115 ,1,2,00,0,14248,511,620,241,272,851,16743,
20200401,116 ,0,1,00,0,1256,79,162,213,37,13,1760,
20200401,116 ,0,2,00,0,5322,304,177,425,505,304,7037,
20200401,116 ,1,1,00,0,1271,84,157,174,55,113,1854,
